URL,Modelo,Marca,Precio con Descuento,Moneda,Precio Original,Descuento,En Stock,País,Valoración,Cantidad de Reseñas,HTTP Status,ImagenURL
https://www.galgo.com/mx/motos/MX1296-italika-at-110,Italika AT 110 2023,Italika,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/53JOVM9I7DaeCQsEGzPtwm/5624b41a4312ca27ffc24ab98a858b38/Moto_Italika_AT_110_Galgo_M_xico_Sin__1_.jpg
https://www.galgo.com/mx/motos/MX1976-vento-hyper-280,Vento Hyper 280 2024,Vento,MXN $55999,MXN,MXN $69999,True,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/3wQIEuMs14CPefLi4vAYEP/615ec6b969d5ea945662f67c91fc27f2/Vento_Hyper_280.jpg
https://www.galgo.com/mx/motos/MX984-honda-invicta-150,Honda Invicta 150 2024,Honda,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/2AEDy6gOjK7O3W80UwqavY/72966fe382f112fb9aad697cf9de03bc/Honda_Invicta_150_-_Galgo_M_xico_Principal_Sin_Stock.jpg
https://www.galgo.com/mx/motos/MX710-ktm-rc-200,KTM RC 200 2023,KTM,Sin descuento,MXN,MXN $93900,False,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/3nryQWTAhvvbhBEImK5IA3/cc025ca63ae4323d75679a613ef5d4ea/ktm-rc-200-primer-plano.png
https://www.galgo.com/mx/motos/MX1310-italika-ft-150-gts,Italika FT 150 GTS 2025,Italika,Sin descuento,MXN,MXN $22999,False,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/sNJwGbmLwfLgkhpWpbP0Y/469be8f08720c304233c89d4363708d9/Moto_Italika_FT150GTS_Galgo_M_xico.jpg
https://www.galgo.com/mx/motos/MX1185-honda-cb-190-repsol,Honda CB 190 Repsol 2024,Honda,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,4,1,200,https://images.ctfassets.net/8zlbnewncp6f/oowUj0J7posONnkQwAfMc/0595d1eb9e5007315a4845e1d085de21/image.png
https://www.galgo.com/mx/motos/MX476-yamaha-mt-15,Yamaha MT 15 2023,Yamaha,MXN $89999,MXN,MXN $94999,True,True,MX,5,2,200,https://images.ctfassets.net/8zlbnewncp6f/40MoidQK7t2bbzHjRoGMeL/3ab3dc4b22d4d3519f502a8b787ff4e9/yamaha-mt15-primer-plano.jpg
https://www.galgo.com/mx/motos/MX1698-bajaj-platina-100,Bajaj Platina 100 2025,Bajaj,Sin descuento,MXN,MXN $27499,False,True,MX,5,4,200,https://images.ctfassets.net/8zlbnewncp6f/5m9lL2T9jHQCaEzJ7wPEEO/5211b56285d3d4a07913c1a09a7f037f/motocicleta-bajaj-platina-100-plano-general.png
https://www.galgo.com/mx/motos/MX1176-honda-cbf-160-invicta-2023,Honda CBF 160 Invicta 2023,Honda,Sin descuento,MXN,MXN $50990,False,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/58hC7HtefpO6TswMQjUS4T/04392eda170351e6f0edf9122a0d18ed/image.png
https://www.galgo.com/mx/motos/MX1305-italika-dm-150,Italika DM 150 2024,Italika,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,2,200,https://images.ctfassets.net/8zlbnewncp6f/4hf67tmo5ypUcvPw4bKZSY/02a334161a856cee40e3cb6a42ca1da5/Moto_Italika_DM150_Galgo_M_xico.jpg
https://www.galgo.com/mx/motos/MX246-bajaj-dominar-250-ug,Bajaj Dominar 250 UG 2024,Bajaj,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,4.923076923076923,13,200,https://images.ctfassets.net/8zlbnewncp6f/66TSzIP45yB63FrXR51tM3/c6d1e4dc9ce66f34e9e5f6fbaaeaa538/DOMINAR-250-sIN-sTOCK.jpg
https://www.galgo.com/mx/motos/MX1307-italika-dm-250x,Italika DM 250X 2024,Italika,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,4,3,200,https://images.ctfassets.net/8zlbnewncp6f/2Kaq7ExTazGk0fOW4RubGH/8332be687bc3bac0a986ddcae4c0181a/Moto_Italika_DM250X_Galgo_M_xico__Sin.jpg
https://www.galgo.com/mx/motos/MX430-vento-storm-250,Vento Storm 250 2024,Vento,MXN $36999,MXN,MXN $45999,True,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/2hUrejOQk5QfaYaHatZ5tO/e239fe12ba711a78e1ab65136b924c0d/Vento-Storm-250-2023__1_.jpg
https://www.galgo.com/mx/motos/MX250-bajaj-boxer-bm-150,Bajaj Boxer BM 150 2025,Bajaj,Sin descuento,MXN,MXN $32499,False,True,MX,5,7,200,https://images.ctfassets.net/8zlbnewncp6f/zlbNnVfDUJiOhVNIu9xAj/6a695756f483b929cf2c49ddea2f7bc5/Bajaj_Boxer_BM_150_Galgo_M__xico_Principal.jpg
https://www.galgo.com/mx/motos/MX1017-honda-cbf-160,Honda CBF 160 2024,Honda,MXN $49990,MXN,MXN $51990,True,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/7f9bVpz3F5qXOhNLUpO8BJ/2a45a9f6558dda88e564b01d26fb4996/Honda_CBF_160_-_Galgo_M_xico_Principal.jpg
https://www.galgo.com/mx/motos/MX650-vento-ruda-170,Vento Ruda 170 2025,Vento,MXN $23999,MXN,MXN $29999,True,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/4dCJE3oe5n0H2oYJ1XvZ2O/fa9f1ad0a9d9a974b6b585efdd20041f/Vento_Ruda_170_-_Galgo_M__xico_Principal.jpg
https://www.galgo.com/mx/motos/MX331-bajaj-bajaj-pulsar-125-ns,Bajaj Pulsar 125 NS 2024,Bajaj,Sin descuento,MXN,MXN $34999,False,True,MX,5,16,200,https://images.ctfassets.net/8zlbnewncp6f/54y26TfMpmej9pm1Zkk6IT/969f37853873730c071d407368aecce1/Bajaj_Pulsar_125_NS_Galgo_Chile.png
https://www.galgo.com/mx/motos/MX1060-tvs-rtr-160-4v,TVS RTR 160 4V 2025,TVS,MXN $44991,MXN,MXN $49990,True,True,MX,4.333333333333333,3,200,https://images.ctfassets.net/8zlbnewncp6f/4rar9lK2ZvS6cBX15rdjs4/74a2a7ba3555c7b04519ad0e30228bc3/tvs-rtr-160-4v-primer-plano.png
https://www.galgo.com/mx/motos/MX987-kawasaki-250,Kawasaki 250 2024,Kawasaki,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/3hAHh6LKURQ4JOJYBgy4jF/f05c0448b30ae28d461003690f84f6a8/Kawasaki_250_-_Galgo_M_xico_Principal_Sin_Stock.jpg
https://www.galgo.com/mx/motos/MX483-yamaha-x-max,Yamaha X Max 2023,Yamaha,Sin descuento,MXN,MXN $154999,False,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/6YuuRqZTws8UB2t40iYqTh/66ece576c37b3138826e327098495fed/Yamaha_X_MAX_Principal.jpg
https://www.galgo.com/mx/motos/MX455-yamaha-mt-03,Yamaha MT 03 2023,Yamaha,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/5nPUzLP1vUjnTyyoqvTlB1/a664724c0f8d807610d698f2d3babff3/yamaha-mt03-primer-plano.png
https://www.galgo.com/mx/motos/MX888-honda-cgl-125-tool,Honda CGL 125 Tool 2024,Honda,Sin descuento,MXN,MXN $27990,False,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/4U0VDhpn89ZChzcqeQGCXP/2aa53e1a7664ffbf0f56a8859ffc8085/CGL_125_Tool_foto_pincipal.png
https://www.galgo.com/mx/motos/MX1193-cf-moto-400-nk,CF Moto 400 NK 2023,CF Moto,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/2OYr1QYerwOV96RmsUjK6t/2e443f4817466d2f0e790a2c5bfa24cc/image.png
https://www.galgo.com/mx/motos/MX247-bajaj-dominar-400-ug,Bajaj Dominar 400 UG 2023,Bajaj,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/3POa28ljuzZgmj1axnWi80/9962d3a1b4d7337d175894c7ad734cca/Dominar_400_TE_Galgo_M_xico.png
https://www.galgo.com/mx/motos/MX1335-bajaj-avenger-220-cruise,Bajaj Avenger 220 Cruise 2025,Bajaj,Sin descuento,MXN,MXN $54499,False,True,MX,5,6,200,https://images.ctfassets.net/8zlbnewncp6f/4Fnw771XPfYwyy16B6qkwa/e0d826d1cc0930c95a0706994b8cbc26/Bajaj_Avenger_220_Cruise_Galgo_M_xico.png
https://www.galgo.com/mx/motos/MX1295-italika-250-z,Italika 250 Z 2024,Italika,Sin descuento,MXN,MXN $44999,False,True,MX,5,2,200,https://images.ctfassets.net/8zlbnewncp6f/hRExsSJQFzqt196fWos6a/cf7f224086f4a2db10f5c0c566c121d0/italika-250z-primer-plano.png
